Fit_max,IM_max,Ld,RW
14,25,3.800000000000008,1.4000000000000001
15,19,4.000000000000007,1.4000000000000001
18,23,4.200000000000008,1.4000000000000001
14,16,4.400000000000009,1.4000000000000001
14,23,4.6000000000000085,1.4000000000000001
14,16,4.800000000000008,1.4000000000000001
14,16,5.000000000000009,1.4000000000000001
14,17,-5.0,1.5000000000000002
14,21,-4.8,1.5000000000000002
14,16,-4.6,1.5000000000000002
14,21,-4.3999999999999995,1.5000000000000002
14,18,-4.199999999999999,1.5000000000000002
14,20,-3.999999999999999,1.5000000000000002
15,19,-3.799999999999999,1.5000000000000002
14,20,-3.5999999999999988,1.5000000000000002
14,20,-3.3999999999999986,1.5000000000000002
14,18,-3.1999999999999984,1.5000000000000002
14,24,-2.9999999999999982,1.5000000000000002
14,17,-2.799999999999998,1.5000000000000002
14,18,-2.599999999999998,1.5000000000000002
14,18,-2.3999999999999977,1.5000000000000002
14,19,-2.1999999999999975,1.5000000000000002
14,18,-1.9999999999999973,1.5000000000000002
14,16,-1.7999999999999972,1.5000000000000002
14,14,-1.599999999999997,1.5000000000000002
15,18,-1.3999999999999968,1.5000000000000002
14,15,-1.1999999999999966,1.5000000000000002
14,17,-0.9999999999999964,1.5000000000000002
14,17,-0.7999999999999963,1.5000000000000002
14,15,-0.5999999999999961,1.5000000000000002
14,17,-0.3999999999999959,1.5000000000000002
14,15,-0.19999999999999574,1.5000000000000002
14,23,4.440892098500626e-15,1.5000000000000002
