,MJD,Steered Frequencies
272,60154.208333333336,9.859800115109395e-16
273,60154.25,-3.041282402468083e-15
274,60154.291666666664,6.104624083476894e-16
275,60154.333333333336,-3.340472483179463e-16
276,60154.375,-1.3151873652624064e-15
277,60154.416666666664,3.597866022726013e-15
278,60154.458333333336,-2.5799336948201786e-15
279,60154.5,1.0539267603274892e-15
280,60154.541666666664,-4.741334089130978e-16
281,60154.583333333336,-7.293409251883823e-16
282,60154.666666666664,-1.4615388430294798e-15
283,60154.708333333336,-3.4971882076846276e-15
284,60154.75,-2.5102337962778473e-17
285,60154.791666666664,1.2507297847862326e-15
286,60154.833333333336,1.9899779134237183e-15
287,60154.875,2.0889697935546433e-15
288,60154.916666666664,-2.259665483397092e-15
289,60154.958333333336,3.696564535673801e-16
290,60155.0,1.6801119904545788e-15
291,60155.041666666664,-7.843895683669327e-16
292,60155.083333333336,-3.0526537591358618e-15
293,60155.125,-7.182401903443953e-15
294,60155.166666666664,-4.2160754935286487e-16
295,60155.208333333336,-5.948864296133302e-15
296,60155.25,1.1528584665876763e-15
297,60155.291666666664,4.9993246718152645e-15
298,60155.333333333336,-9.121018030336936e-16
299,60155.375,-3.728806748589235e-15
300,60155.416666666664,-5.772159651428013e-15
301,60155.458333333336,2.795949849344791e-15
302,60155.5,5.733327599674836e-16
303,60155.541666666664,2.503302598347337e-15
304,60155.583333333336,-1.1729476926345941e-16
305,60155.625,8.029677161504989e-15
306,60155.666666666664,-2.894419677609007e-15
307,60155.708333333336,8.211014784156143e-17
308,60155.75,3.7402736931981285e-15
309,60155.791666666664,1.3286634317344858e-16
310,60155.833333333336,-1.029534923429852e-15
311,60155.875,-3.833400797168464e-15
312,60155.916666666664,-1.7536753049328512e-15
313,60156.0,-1.439636712396115e-15
314,60156.041666666664,1.7541646470146001e-15
315,60156.083333333336,1.9171672290053395e-15
316,60156.125,-4.768689523283781e-15
317,60156.166666666664,-2.5752993772772805e-15
318,60156.208333333336,-3.9765187927229944e-15
319,60156.25,-4.640077838886557e-15
320,60156.291666666664,-5.394418777610074e-15
321,60156.333333333336,1.6722900083426097e-16
322,60156.375,-3.723685030256908e-15
323,60156.416666666664,1.3803171793271561e-15
324,60156.458333333336,-3.2800969798013155e-16
325,60156.5,3.5058177087235783e-17
326,60156.541666666664,7.336251306396859e-15
