,Fit_max,IM_max,Ld,RW,Rescaled_LD
145,77,71,3.6000000000000085,0.3,-2.1732450971203838e-16
146,77,106,3.800000000000008,0.3,-2.293980935849293e-16
147,86,75,4.000000000000007,0.3,-2.414716774578203e-16
148,69,85,4.200000000000008,0.3,-2.5354526133071133e-16
149,72,91,4.400000000000009,0.3,-2.656188452036024e-16
150,70,82,4.6000000000000085,0.3,-2.7769242907649335e-16
151,68,58,4.800000000000008,0.3,-2.897660129493843e-16
152,72,79,5.000000000000009,0.3,-3.0183959682227536e-16
153,67,70,-5.0,0.4,3.018395968222748e-16
154,61,58,-4.8,0.4,2.8976601294938384e-16
155,73,89,-4.6,0.4,2.776924290764928e-16
156,70,70,-4.4,0.4,2.6561884520360187e-16
157,69,64,-4.199999999999999,0.4,2.535452613307108e-16
158,78,110,-3.999999999999999,0.4,2.414716774578198e-16
159,70,69,-3.799999999999999,0.4,2.2939809358492877e-16
160,77,92,-3.5999999999999988,0.4,2.173245097120378e-16
161,70,76,-3.3999999999999986,0.4,2.0525092583914678e-16
162,80,90,-3.1999999999999984,0.4,1.9317734196625578e-16
163,65,63,-2.9999999999999982,0.4,1.811037580933648e-16
164,80,115,-2.799999999999998,0.4,1.6903017422047378e-16
165,96,115,-2.599999999999998,0.4,1.5695659034758278e-16
166,79,82,-2.3999999999999977,0.4,1.4488300647469177e-16
167,82,92,-2.199999999999997,0.4,1.3280942260180074e-16
168,67,75,-1.9999999999999971,0.4,1.2073583872890975e-16
169,78,102,-1.7999999999999972,0.4,1.0866225485601876e-16
170,68,83,-1.599999999999997,0.4,9.658867098312776e-17
171,83,93,-1.3999999999999968,0.4,8.451508711023676e-17
172,75,94,-1.1999999999999966,0.4,7.244150323734575e-17
173,63,98,-0.9999999999999964,0.4,6.036791936445475e-17
174,88,117,-0.7999999999999963,0.4,4.8294335491563747e-17
175,83,85,-0.5999999999999961,0.4,3.6220751618672745e-17
176,87,100,-0.3999999999999959,0.4,2.4147167745781738e-17
177,130,93,-0.1999999999999957,0.4,1.2073583872890733e-17
178,78,99,4.440892098500626e-15,0.4,-2.68087416108531e-31
179,90,97,0.2000000000000046,0.4,-1.207358387289127e-17
180,73,56,0.4000000000000048,0.4,-2.4147167745782274e-17
181,90,100,0.600000000000005,0.4,-3.622075161867328e-17
182,92,115,0.8000000000000052,0.4,-4.829433549156428e-17
183,77,77,1.000000000000005,0.4,-6.036791936445527e-17
184,79,95,1.2000000000000055,0.4,-7.244150323734629e-17
185,69,82,1.4000000000000057,0.4,-8.451508711023729e-17
186,80,86,1.600000000000006,0.4,-9.658867098312831e-17
187,75,91,1.800000000000006,0.4,-1.086622548560193e-16
188,77,90,2.000000000000006,0.4,-1.207358387289103e-16
189,70,72,2.2000000000000064,0.4,-1.328094226018013e-16
190,69,103,2.4000000000000066,0.4,-1.448830064746923e-16
191,66,92,2.6000000000000068,0.4,-1.5695659034758332e-16
192,77,102,2.800000000000007,0.4,-1.6903017422047433e-16
193,71,87,3.000000000000007,0.4,-1.811037580933653e-16
194,71,89,3.2000000000000064,0.4,-1.9317734196625627e-16
195,72,59,3.4000000000000075,0.4,-2.0525092583914733e-16
196,64,57,3.6000000000000085,0.4,-2.1732450971203838e-16
197,74,65,3.800000000000008,0.4,-2.293980935849293e-16
198,67,65,4.000000000000007,0.4,-2.414716774578203e-16
199,73,71,4.200000000000008,0.4,-2.5354526133071133e-16
200,62,70,4.400000000000009,0.4,-2.656188452036024e-16
201,73,77,4.6000000000000085,0.4,-2.7769242907649335e-16
202,59,70,4.800000000000008,0.4,-2.897660129493843e-16
203,62,71,5.000000000000009,0.4,-3.0183959682227536e-16
204,66,83,-5.0,0.5,3.018395968222748e-16
205,57,54,-4.8,0.5,2.8976601294938384e-16
206,59,85,-4.6,0.5,2.776924290764928e-16
207,68,76,-4.4,0.5,2.6561884520360187e-16
208,62,51,-4.199999999999999,0.5,2.535452613307108e-16
209,61,70,-3.999999999999999,0.5,2.414716774578198e-16
210,57,56,-3.799999999999999,0.5,2.2939809358492877e-16
211,64,93,-3.5999999999999988,0.5,2.173245097120378e-16
212,65,62,-3.3999999999999986,0.5,2.0525092583914678e-16
213,58,72,-3.1999999999999984,0.5,1.9317734196625578e-16
214,69,73,-2.9999999999999982,0.5,1.811037580933648e-16
215,61,90,-2.799999999999998,0.5,1.6903017422047378e-16
216,69,78,-2.599999999999998,0.5,1.5695659034758278e-16
217,64,71,-2.3999999999999977,0.5,1.4488300647469177e-16
218,64,61,-2.199999999999997,0.5,1.3280942260180074e-16
219,62,55,-1.9999999999999971,0.5,1.2073583872890975e-16
220,68,71,-1.7999999999999972,0.5,1.0866225485601876e-16
221,66,70,-1.599999999999997,0.5,9.658867098312776e-17
222,62,54,-1.3999999999999968,0.5,8.451508711023676e-17
223,75,73,-1.1999999999999966,0.5,7.244150323734575e-17
224,70,108,-0.9999999999999964,0.5,6.036791936445475e-17
225,64,73,-0.7999999999999963,0.5,4.8294335491563747e-17
226,70,85,-0.5999999999999961,0.5,3.6220751618672745e-17
227,59,48,-0.3999999999999959,0.5,2.4147167745781738e-17
228,67,67,-0.1999999999999957,0.5,1.2073583872890733e-17
229,69,88,4.440892098500626e-15,0.5,-2.68087416108531e-31
230,77,97,0.2000000000000046,0.5,-1.207358387289127e-17
231,64,69,0.4000000000000048,0.5,-2.4147167745782274e-17
232,64,66,0.600000000000005,0.5,-3.622075161867328e-17
233,70,78,0.8000000000000052,0.5,-4.829433549156428e-17
234,67,64,1.000000000000005,0.5,-6.036791936445527e-17
235,79,78,1.2000000000000055,0.5,-7.244150323734629e-17
236,60,84,1.4000000000000057,0.5,-8.451508711023729e-17
237,67,55,1.600000000000006,0.5,-9.658867098312831e-17
238,66,61,1.800000000000006,0.5,-1.086622548560193e-16
239,65,65,2.000000000000006,0.5,-1.207358387289103e-16
240,67,58,2.2000000000000064,0.5,-1.328094226018013e-16
241,67,63,2.4000000000000066,0.5,-1.448830064746923e-16
