% File initiated 20/09/2022 08:32:49 UTC
% Raw fountain data
%
% File notes: CERN_SNR_ off res VNA reference
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59842.356133
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot 2 MJD days	Shot 2 MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot 1 MJD days	Shot 1 MJD seconds	Shot order (0=LF->HF)
59842	31057	0.00718814	0.03172493	0.50446619	0.03174128	0.46195751	0.63374249	0.63351364	0.34538446	0.34448403	0.63411506	0.63338562	0.34468518	0.34444319	59842	31055	0
59842	31060	-0.01257486	0.03158446	0.43877618	0.03174947	0.49806516	0.63378588	0.63353903	0.34564314	0.34454837	0.63374882	0.63352400	0.34540435	0.34453037	59842	31058	0
59842	31063	-0.00319269	0.03174946	0.48047151	0.03163809	0.45232500	0.63390207	0.63345127	0.34528882	0.34450704	0.63415187	0.63361143	0.34481501	0.34452232	59842	31062	0
59842	31067	0.00080209	0.03169755	0.47848743	0.03164198	0.46650312	0.63385696	0.63349762	0.34500154	0.34448058	0.63375654	0.63347305	0.34555341	0.34451501	59842	31065	0
59842	31070	-0.00315376	0.03171925	0.46359590	0.03164931	0.47546343	0.63406690	0.63350970	0.34585835	0.34454097	0.63404751	0.63348332	0.34492447	0.34453432	59842	31068	0
59842	31073	0.00860442	0.03137605	0.48477251	0.03124456	0.44949797	0.63431030	0.63358176	0.34489513	0.34457713	0.63428869	0.63358127	0.34481444	0.34452832	59842	31071	0
59842	31076	-0.00403680	0.03156139	0.47000980	0.03136354	0.50793346	0.63424234	0.63358743	0.34508199	0.34452988	0.63407570	0.63370650	0.34569877	0.34459290	59842	31075	0
59842	31080	0.01817245	0.03127595	0.50429726	0.03137718	0.43766952	0.63415368	0.63362770	0.34549778	0.34457894	0.63441967	0.63374356	0.34485158	0.34457450	59842	31078	0
59842	31083	0.00498817	0.03151845	0.44948679	0.03149376	0.48903963	0.63396082	0.63379451	0.34561619	0.34467812	0.63422582	0.63380420	0.34511100	0.34461838	59842	31081	0
59842	31086	0.00431491	0.03139711	0.47828628	0.03156577	0.48030607	0.63447636	0.63379664	0.34508700	0.34465462	0.63421867	0.63374561	0.34516852	0.34457746	59842	31085	0
59842	31089	0.00462659	0.03144451	0.46930857	0.03134470	0.46837352	0.63418720	0.63376673	0.34541807	0.34461279	0.63454925	0.63376073	0.34492414	0.34469250	59842	31088	0
59842	31093	0.00539750	0.03154667	0.44362026	0.03133397	0.44130754	0.63396583	0.63372786	0.34572704	0.34465946	0.63425541	0.63374331	0.34516523	0.34467384	59842	31091	0
59842	31096	-0.00130687	0.03165571	0.43684799	0.03154926	0.45696111	0.63433388	0.63370083	0.34522406	0.34471329	0.63435738	0.63369639	0.34508158	0.34466176	59842	31094	0
59842	31099	-0.00203242	0.03148195	0.45590873	0.03181096	0.45808536	0.63424497	0.63379179	0.34509103	0.34471879	0.63416411	0.63383280	0.34532653	0.34469997	59842	31098	0
59842	31103	0.01948504	0.03162034	0.50142958	0.03175599	0.43687721	0.63409427	0.63383345	0.34568307	0.34470844	0.63422065	0.63382918	0.34550805	0.34467458	59842	31101	0
59842	31106	0.00399966	0.03182989	0.45065679	0.03127923	0.49711293	0.63429090	0.63391119	0.34546581	0.34473662	0.63452633	0.63387125	0.34513211	0.34471074	59842	31104	0
59842	31109	-0.00592495	0.03138996	0.45336640	0.03141539	0.48314022	0.63419936	0.63386402	0.34585366	0.34472725	0.63409640	0.63381850	0.34583838	0.34469266	59842	31107	0
59842	31112	0.00880740	0.03159463	0.47892883	0.03226283	0.43473178	0.63413667	0.63388399	0.34565933	0.34467623	0.63412451	0.63387676	0.34543056	0.34469094	59842	31111	0
59842	31116	-0.00367654	0.03140572	0.44566255	0.03150385	0.48311437	0.63433388	0.63385383	0.34522201	0.34466259	0.63416600	0.63378653	0.34561528	0.34474131	59842	31114	0
59842	31119	-0.00099738	0.03137373	0.47170638	0.03148697	0.46366891	0.63456043	0.63384529	0.34497886	0.34469061	0.63460447	0.63397274	0.34508766	0.34480885	59842	31117	0
59842	31122	-0.00375572	0.03146531	0.48150992	0.03141965	0.48978492	0.63459453	0.63395425	0.34513154	0.34478855	0.63453306	0.63387807	0.34506309	0.34471172	59842	31120	0
59842	31125	-0.00582294	0.03168150	0.44896628	0.03157572	0.45516793	0.63466840	0.63399057	0.34524461	0.34474287	0.63441909	0.63403412	0.34590617	0.34485668	59842	31124	0
59842	31129	-0.00128214	0.03174006	0.49962082	0.03174580	0.48599844	0.63449461	0.63397841	0.34558833	0.34488856	0.63433026	0.63396518	0.34571619	0.34487968	59842	31127	0
59842	31132	0.00909483	0.03184518	0.48185754	0.03201224	0.45072661	0.63461597	0.63399591	0.34515208	0.34489965	0.63466059	0.63392935	0.34518158	0.34490631	59842	31130	0
59842	31135	-0.00914466	0.03187445	0.44211817	0.03177358	0.49683665	0.63456248	0.63401325	0.34527937	0.34491436	0.63431120	0.63394784	0.34565012	0.34485848	59842	31134	0
59842	31138	-0.00138673	0.03178311	0.47419983	0.03154288	0.45092604	0.63452748	0.63407183	0.34547896	0.34495150	0.63455698	0.63395786	0.34551208	0.34489184	59842	31137	0
59842	31142	-0.01066735	0.03182341	0.46713485	0.03160723	0.49497671	0.63424686	0.63395614	0.34589738	0.34490417	0.63455895	0.63392360	0.34529547	0.34488272	59842	31140	0
59842	31145	-0.00062339	0.03169847	0.48513317	0.03194904	0.45500130	0.63457374	0.63388259	0.34520549	0.34488396	0.63408342	0.63385761	0.34586278	0.34491296	59842	31143	0
59842	31148	-0.00194339	0.03172822	0.45602662	0.03179016	0.45998661	0.63444645	0.63374816	0.34509711	0.34482315	0.63419115	0.63384816	0.34578842	0.34485955	59842	31147	0
59842	31151	0.00902996	0.03176201	0.47462488	0.03156809	0.44170481	0.63435171	0.63391973	0.34532670	0.34497180	0.63457505	0.63399081	0.34518216	0.34495832	59842	31150	0
59842	31155	-0.00557081	0.03188148	0.45292161	0.03139930	0.49672394	0.63418720	0.63388646	0.34601135	0.34494698	0.63431777	0.63389706	0.34584257	0.34485232	59842	31153	0
59842	31158	0.00322022	0.03166403	0.47981344	0.03146091	0.45344033	0.63451499	0.63377150	0.34511946	0.34481830	0.63405704	0.63382228	0.34575473	0.34478929	59842	31156	0
59842	31161	-0.00375791	0.03162696	0.46240094	0.03147741	0.48333534	0.63405088	0.63372597	0.34577552	0.34473457	0.63443380	0.63396674	0.34530574	0.34493515	59842	31160	0
59842	31165	0.00277946	0.03130765	0.47633145	0.03164365	0.45671934	0.63422418	0.63383699	0.34572046	0.34485035	0.63425253	0.63384792	0.34546409	0.34484961	59842	31163	0
59842	31168	0.00365236	0.03165582	0.47586890	0.03177395	0.47325022	0.63455246	0.63392483	0.34515742	0.34487656	0.63421366	0.63391702	0.34582729	0.34481789	59842	31166	0
59842	31171	0.00899221	0.03156995	0.48268662	0.03197767	0.46666706	0.63455155	0.63382277	0.34500902	0.34476497	0.63428080	0.63383559	0.34558241	0.34481674	59842	31169	0
59842	31174	0.00760175	0.03145078	0.46237577	0.03170276	0.46654717	0.63424694	0.63392417	0.34556491	0.34485766	0.63448902	0.63389163	0.34527402	0.34486966	59842	31173	0
59842	31178	-0.01651431	0.03172971	0.42686673	0.03138466	0.49921489	0.63417364	0.63384151	0.34566787	0.34475503	0.63440931	0.63374118	0.34526679	0.34473933	59842	31176	0
59842	31181	0.01543610	0.03152770	0.50162863	0.03164548	0.40577742	0.63407183	0.63381061	0.34572342	0.34489406	0.63413798	0.63380889	0.34552210	0.34473909	59842	31179	0
59842	31184	-0.00344316	0.03128693	0.43580683	0.03113618	0.49244461	0.63430093	0.63388572	0.34547206	0.34475388	0.63432903	0.63378210	0.34576344	0.34475832	59842	31183	0
59842	31187	0.00007665	0.03144175	0.47557827	0.03147132	0.46501884	0.63442262	0.63392031	0.34519292	0.34474615	0.63463109	0.63385466	0.34502242	0.34467121	59842	31186	0
59842	31191	-0.00274201	0.03132078	0.45433140	0.03147034	0.46278737	0.63446108	0.63402434	0.34531519	0.34482257	0.63461285	0.63399985	0.34508462	0.34480959	59842	31189	0
59842	31194	0.00605093	0.03128321	0.48671384	0.03131134	0.46033502	0.63454490	0.63388596	0.34517090	0.34468222	0.63453939	0.63391061	0.34519087	0.34469011	59842	31192	0
59842	31197	0.00691785	0.03144951	0.44571582	0.03131659	0.44311505	0.63447817	0.63380256	0.34488478	0.34466209	0.63461269	0.63388194	0.34495356	0.34470556	59842	31196	0
59842	31200	0.00197119	0.03179936	0.44393887	0.03145548	0.45877887	0.63416978	0.63379944	0.34542111	0.34464812	0.63441589	0.63374471	0.34513269	0.34465034	59842	31199	0
59842	31204	0.01689683	0.03158776	0.48554822	0.03161644	0.44077131	0.63399583	0.63360346	0.34523154	0.34448230	0.63397684	0.63364446	0.34555316	0.34458428	59842	31202	0
59842	31207	-0.01039222	0.03152607	0.42870823	0.03129024	0.51057537	0.63425138	0.63360740	0.34502168	0.34453275	0.63443380	0.63372277	0.34490507	0.34461698	59842	31205	0
59842	31210	-0.01102978	0.03148767	0.45640661	0.03122356	0.45831930	0.63409156	0.63374118	0.34578439	0.34463835	0.63418655	0.63385901	0.34509555	0.34463136	59842	31209	0
59842	31214	-0.00212659	0.03131580	0.48506108	0.03145000	0.45835150	0.63424464	0.63373616	0.34505183	0.34453202	0.63410437	0.63362375	0.34492521	0.34448871	59842	31212	0
59842	31217	0.00809825	0.03139673	0.50549014	0.03155773	0.47481563	0.63391250	0.63370198	0.34554568	0.34450531	0.63381620	0.63351668	0.34531675	0.34436134	59842	31215	0
